sim_time,rsu_id,rsu_x,rsu_y,obj_type,obj_id,obj_x,obj_y,distance_m,speed_mps
3.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,12.099999999999998,2.6400757564888293,10.0
3.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,14.083893092550337,4.386135291048422,9.919465462751687
3.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,16.063665956649928,6.271207605703654,9.89886432049796
3.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,18.0634845619332,8.220692384497497,9.999093026416377
4.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,20.059727865826336,10.186173213453763,9.98121651946567
4.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,22.053996206600218,12.159721400950456,9.971341703869403
4.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,24.05064196570776,14.14144757966836,9.983228795537725
4.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,26.040338855769484,16.11994015522106,9.948484450308605
4.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,28.028564332736654,18.099423523958553,9.941127384835854
5.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,30.01813304642215,20.081973276156372,9.947843568427489
5.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,32.00435941215232,22.06245301726842,9.931131828650832
5.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,33.99275265708007,24.04604291902979,9.941966224638746
5.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,35.977644968885926,26.0268714625766,9.924461559029297
5.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,37.97259583455138,28.0183175391236,9.974754328327254
6.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,39.96104298605211,30.00373471439951,9.942235757503658
6.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,41.95525197514519,31.99528291475199,9.971044945465401
6.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,43.95163013656251,33.989309921355265,9.981890807086602
6.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,45.93710769706033,35.97270784400464,9.927387802489102
6.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,47.93302335252612,37.9667520425871,9.979578277328983
7.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,49.920914703167966,39.95296523085129,9.939456753209233
7.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,51.908174553278826,41.93870639860136,9.936299250554294
7.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,53.89433212957902,43.9234833898883,9.930787881501018
7.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,4.6,5.632051136131464,8.568999999999999
7.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,55.885817053114984,45.91370390887603,9.95742461767979
7.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,6.310082176656647,4.021876868208008,8.550410883283242
7.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,57.86295745404064,47.889693006400705,9.885702004628255
7.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,7.994060849917493,2.5658900743861652,8.419893366304226
8.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,59.849262055169774,49.874932856546174,9.931523005645722
8.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,9.692707840560562,1.6292416859547456,8.493234953215344
8.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,61.84567589529788,51.8703586746831,9.982069200640545
8.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,11.388732042807899,2.118626131888566,8.480121011236681
8.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,63.83008617579376,53.85385945030664,9.92205140247941
8.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,13.087048237057402,3.477048578596354,8.491580971247515
8.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,65.80783150989747,55.83076264781903,9.888726670518517
8.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,14.775874497591706,5.036762572997316,8.444131302671506
8.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,67.80205027513391,57.82419057807129,9.971093826182187
8.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,16.48018378441818,6.6747870287999485,8.52154643413238
9.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,69.79583486702292,59.817237210057385,9.968922959445045
9.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,18.16101592623964,8.316380279204212,8.404160709107293
9.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,71.77630658210067,61.79702302640229,9.902358575388789
9.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,19.865488528640753,9.994391622742327,8.522363012005574
9.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,4.6,5.632051136131464,8.454501305856937
9.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,73.77210312307811,63.79217143772823,9.978982704887166
9.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,21.551431012068875,11.661713357246708,8.429712417140601
9.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,6.28820881582726,4.041954204948663,8.441044079136297
9.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,75.75877191705628,65.77823412071375,9.933343969890847
9.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,23.251090763697587,13.347337053800327,8.498298758143559
9.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,7.963425801567882,2.589910126957909,8.376084928703118
9.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,77.73558072168937,67.75447509725463,9.88404402316548
9.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,24.938015373914876,15.023458433773394,8.43462305108644
9.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,9.641257866329264,1.6397243422204664,8.389160323806902
10.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,79.7285219052471,69.74687639665683,9.96470591778867
10.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,26.632120981693827,16.708903265914845,8.470528038894757
10.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,11.295514707029312,2.05872736323413,8.271284203500244
10.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,81.72356340215727,71.74140747924642,9.975207484550774
10.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,28.316076077381894,18.385827228396362,8.419775478440336
10.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,12.958367095159613,3.363322147776337,8.314261940651503
10.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,4.6,5.632051136131464,6.2181493802845065
10.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,83.71878086871466,73.73614210663297,9.976087332786992
10.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,30.00264673111029,20.066536229494037,8.432853268641978
10.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,14.638206697114123,4.906420422788289,8.399198009772554
10.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,5.832176466277084,4.4643871929139705,6.160882331385422
10.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,85.69785804209297,75.7147654831002,9.895385866891592
10.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,31.7085807741696,21.767463775751317,8.529670215296559
10.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,16.29223342250066,6.492472675586251,8.270133626932687
10.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,7.104632994882668,3.308043242510868,6.362282643027921
10.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,87.6816804971434,77.69815625135689,9.919112275252118
10.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,33.41432312881984,23.468926851920333,8.528711773251182
10.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,17.956207239168315,8.115493431245817,8.319869083338265
10.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,8.393756452865585,2.2671608528533342,6.445617289914584
11.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,89.6640357747264,79.68010163093976,9.911776387915015
11.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,35.128100871111826,25.178988331320436,8.568888711459934
11.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,19.654624516997625,9.786305460397777,8.49208638914655
11.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,9.702945230708814,1.6273418620432367,6.545943889216143
11.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,91.64774362119286,81.66341921835038,9.91853923233226
11.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,36.82662705651094,26.874298488130332,8.492630926995536
11.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,21.360277638313757,11.472397657838195,8.528265606580659
11.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,11.043236418982131,1.9100634088664097,6.701455941366586
11.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,93.64626527800782,83.66156641468564,9.992608284074812
11.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,38.512309238871566,28.557166843597084,8.428410911803132
11.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,23.031717336272784,13.129571841172595,8.357198489795138
11.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,12.436145290159452,2.914584683066489,6.964544355886611
11.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,95.62918667630477,85.64413354600215,9.914606991484762
11.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,40.216737459874906,30.259068437726352,8.522141105016692
