sim_time,rsu_id,x,y,type,range_m
0.2,RSU_A2,600.0,10.0,poi_rsu,150
0.2,RSU_A4,1200.0,10.0,poi_rsu,150
0.4,RSU_A2,600.0,10.0,poi_rsu,150
0.4,RSU_A4,1200.0,10.0,poi_rsu,150
0.6,RSU_A2,600.0,10.0,poi_rsu,150
0.6,RSU_A4,1200.0,10.0,poi_rsu,150
0.8,RSU_A2,600.0,10.0,poi_rsu,150
0.8,RSU_A4,1200.0,10.0,poi_rsu,150
1.0,RSU_A2,600.0,10.0,poi_rsu,150
1.0,RSU_A4,1200.0,10.0,poi_rsu,150
1.2,RSU_A2,600.0,10.0,poi_rsu,150
1.2,RSU_A4,1200.0,10.0,poi_rsu,150
1.4,RSU_A2,600.0,10.0,poi_rsu,150
1.4,RSU_A4,1200.0,10.0,poi_rsu,150
1.6,RSU_A2,600.0,10.0,poi_rsu,150
1.6,RSU_A4,1200.0,10.0,poi_rsu,150
1.8,RSU_A2,600.0,10.0,poi_rsu,150
1.8,RSU_A4,1200.0,10.0,poi_rsu,150
2.0,RSU_A2,600.0,10.0,poi_rsu,150
2.0,RSU_A4,1200.0,10.0,poi_rsu,150
2.2,RSU_A2,600.0,10.0,poi_rsu,150
2.2,RSU_A4,1200.0,10.0,poi_rsu,150
2.4,RSU_A2,600.0,10.0,poi_rsu,150
2.4,RSU_A4,1200.0,10.0,poi_rsu,150
2.6,RSU_A2,600.0,10.0,poi_rsu,150
2.6,RSU_A4,1200.0,10.0,poi_rsu,150
2.8,RSU_A2,600.0,10.0,poi_rsu,150
2.8,RSU_A4,1200.0,10.0,poi_rsu,150
3.0,RSU_A2,600.0,10.0,poi_rsu,150
3.0,RSU_A4,1200.0,10.0,poi_rsu,150
3.2,RSU_A2,600.0,10.0,poi_rsu,150
3.2,RSU_A4,1200.0,10.0,poi_rsu,150
3.4,RSU_A2,600.0,10.0,poi_rsu,150
3.4,RSU_A4,1200.0,10.0,poi_rsu,150
3.6,RSU_A2,600.0,10.0,poi_rsu,150
3.6,RSU_A4,1200.0,10.0,poi_rsu,150
3.8,RSU_A2,600.0,10.0,poi_rsu,150
3.8,RSU_A4,1200.0,10.0,poi_rsu,150
4.0,RSU_A2,600.0,10.0,poi_rsu,150
4.0,RSU_A4,1200.0,10.0,poi_rsu,150
4.2,RSU_A2,600.0,10.0,poi_rsu,150
4.2,RSU_A4,1200.0,10.0,poi_rsu,150
4.4,RSU_A2,600.0,10.0,poi_rsu,150
4.4,RSU_A4,1200.0,10.0,poi_rsu,150
4.6,RSU_A2,600.0,10.0,poi_rsu,150
4.6,RSU_A4,1200.0,10.0,poi_rsu,150
4.8,RSU_A2,600.0,10.0,poi_rsu,150
4.8,RSU_A4,1200.0,10.0,poi_rsu,150
5.0,RSU_A2,600.0,10.0,poi_rsu,150
5.0,RSU_A4,1200.0,10.0,poi_rsu,150
5.2,RSU_A2,600.0,10.0,poi_rsu,150
5.2,RSU_A4,1200.0,10.0,poi_rsu,150
5.4,RSU_A2,600.0,10.0,poi_rsu,150
5.4,RSU_A4,1200.0,10.0,poi_rsu,150
5.6,RSU_A2,600.0,10.0,poi_rsu,150
5.6,RSU_A4,1200.0,10.0,poi_rsu,150
5.8,RSU_A2,600.0,10.0,poi_rsu,150
5.8,RSU_A4,1200.0,10.0,poi_rsu,150
6.0,RSU_A2,600.0,10.0,poi_rsu,150
6.0,RSU_A4,1200.0,10.0,poi_rsu,150
6.2,RSU_A2,600.0,10.0,poi_rsu,150
6.2,RSU_A4,1200.0,10.0,poi_rsu,150
6.4,RSU_A2,600.0,10.0,poi_rsu,150
