sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
0.6,veh_1,car,A0_A1,A0_A1_2,4.6,4.6,201.6,15.0,0.0,90.0,east_main,,
0.8,veh_1,car,A0_A1,A0_A1_2,7.58,7.58,201.6,14.921,-0.395,90.0,east_main,,
1.0,veh_1,car,A0_A1,A0_A1_2,10.57,10.57,201.6,14.911,-0.052,90.0,east_main,,
1.0,veh_2,auto,S2N_A2,S2N_A2_0,3.1,601.6,396.9,9.383,0.0,180.0,north2west,,
1.2,veh_1,car,A0_A1,A0_A1_2,13.57,13.57,201.6,14.994,0.418,90.0,east_main,,
1.2,veh_2,auto,S2N_A2,S2N_A2_0,4.94,601.6,395.06,9.182,-1.005,180.0,north2west,,
1.4,veh_1,car,A0_A1,A0_A1_2,16.54,16.54,201.6,14.879,-0.576,90.0,east_main,,
1.4,veh_2,auto,S2N_A2,S2N_A2_0,6.8,601.6,393.2,9.339,0.785,180.0,north2west,,
1.6,veh_1,car,A0_A1,A0_A1_2,19.51,19.51,201.6,14.837,-0.211,90.0,east_main,,
1.6,veh_2,auto,S2N_A2,S2N_A2_0,8.64,601.6,391.36,9.188,-0.753,180.0,north2west,,
1.8,veh_1,car,A0_A1,A0_A1_2,22.48,22.48,201.6,14.873,0.178,90.0,east_main,,
1.8,veh_2,auto,S2N_A2,S2N_A2_0,10.5,601.6,389.5,9.314,0.628,180.0,north2west,,
2.0,veh_1,car,A0_A1,A0_A1_2,25.46,25.46,201.6,14.87,-0.014,90.0,east_main,,
2.0,veh_2,auto,S2N_A2,S2N_A2_0,12.37,601.6,387.63,9.307,-0.037,180.0,north2west,,
2.0,veh_3,car,S4N_A4,S4N_A4_0,4.6,1201.6,395.4,10.104,0.0,180.0,north4east,,
2.2,veh_1,car,A0_A1,A0_A1_2,28.42,28.42,201.6,14.832,-0.188,90.0,east_main,,
2.2,veh_2,auto,S2N_A2,S2N_A2_0,14.22,601.6,385.78,9.293,-0.065,180.0,north2west,,
2.2,veh_3,car,S4N_A4,S4N_A4_0,6.6,1201.6,393.4,10.004,-0.499,180.0,north4east,,
2.4,veh_1,car,A0_A1,A0_A1_2,31.4,31.4,201.6,14.882,0.25,90.0,east_main,,
2.4,veh_2,auto,S2N_A2,S2N_A2_0,16.06,601.6,383.94,9.178,-0.578,180.0,north2west,,
2.4,veh_3,car,S4N_A4,S4N_A4_0,8.6,1201.6,391.4,10.013,0.043,180.0,north4east,,
2.6,veh_1,car,A0_A1,A0_A1_2,34.39,34.39,201.6,14.933,0.255,90.0,east_main,,
2.6,veh_2,auto,S2N_A2,S2N_A2_0,17.9,601.6,382.1,9.208,0.148,180.0,north2west,,
2.6,veh_3,car,S4N_A4,S4N_A4_0,10.62,1201.6,389.38,10.08,0.336,180.0,north4east,,
2.8,veh_1,car,A0_A1,A0_A1_2,37.35,37.35,201.6,14.83,-0.516,90.0,east_main,,
2.8,veh_2,auto,S2N_A2,S2N_A2_0,19.73,601.6,380.27,9.132,-0.379,180.0,north2west,,
2.8,veh_3,car,S4N_A4,S4N_A4_0,12.62,1201.6,387.38,9.991,-0.443,180.0,north4east,,
2.8,veh_4,car,S4N_A4,S4N_A4_0,4.6,1201.6,395.4,7.656,0.0,180.0,north4east,veh_3,1.018
3.0,veh_1,car,A0_A1,A0_A1_2,40.34,40.34,201.6,14.92,0.447,90.0,east_main,,
3.0,veh_2,auto,S2N_A2,S2N_A2_0,21.59,601.6,378.41,9.316,0.92,180.0,north2west,,
3.0,veh_3,car,S4N_A4,S4N_A4_0,14.62,1201.6,385.38,9.995,0.018,180.0,north4east,,
3.0,veh_4,car,S4N_A4,S4N_A4_0,6.11,1201.6,393.89,7.558,-0.487,180.0,north4east,veh_3,1.505
3.2,veh_1,car,A0_A1,A0_A1_2,43.31,43.31,201.6,14.883,-0.183,90.0,east_main,,
3.2,veh_2,auto,S2N_A2,S2N_A2_0,23.43,601.6,376.57,9.208,-0.54,180.0,north2west,,
3.2,veh_3,car,S4N_A4,S4N_A4_0,16.63,1201.6,383.37,10.09,0.476,180.0,north4east,,
3.2,veh_4,car,S4N_A4,S4N_A4_0,7.64,1201.6,392.36,7.624,0.33,180.0,north4east,veh_3,1.998
3.2,veh_5,bus,S2S_A2,S2S_A2_0,12.1,598.4,12.1,10.0,0.0,0.0,south2east,,
3.4,veh_1,car,A0_A1,A0_A1_2,46.28,46.28,201.6,14.839,-0.221,90.0,east_main,,
3.4,veh_2,auto,S2N_A2,S2N_A2_0,25.3,601.6,374.7,9.358,0.752,180.0,north2west,,
3.4,veh_3,car,S4N_A4,S4N_A4_0,18.64,1201.6,381.36,10.038,-0.261,180.0,north4east,,
3.4,veh_4,car,S4N_A4,S4N_A4_0,9.2,1201.6,390.8,7.813,0.943,180.0,north4east,veh_3,2.443
3.4,veh_5,bus,S2S_A2,S2S_A2_0,14.08,598.4,14.08,9.919,-0.403,0.0,south2east,,
3.6,veh_1,car,A0_A1,A0_A1_2,49.26,49.26,201.6,14.883,0.223,90.0,east_main,,
3.6,veh_2,auto,S2N_A2,S2N_A2_0,27.13,601.6,372.87,9.151,-1.035,180.0,north2west,,
